key,0,1,2,3,4,5,6,7,8,9
#,Category,,Image,,UnlockCondition,,SortKey,Name,,
offset,16,17,4,18,8,10,12,19,14,0
int32,byte,byte,Image,byte,BannerCondition,uint16,uint16,byte,uint16,str
0,0,0,0,0,1,0,0,0,0,"なし"
1,2,0,194002,0,1,0,0,1,1,"光沢"
2,2,0,194003,0,1,0,0,1,6,"四角形"
3,2,0,194004,0,1,0,0,1,7,"水玉"
4,2,0,194005,0,1,0,0,1,8,"菱形"
5,2,0,194006,0,1,0,0,1,2,"格子"
6,2,0,194007,0,1,0,0,1,3,"斜線"
7,2,0,194008,0,1,0,0,1,4,"斜二分割"
8,2,0,194009,0,1,0,0,1,5,"三角形"
9,2,0,194010,0,1,0,0,1,10,"羊皮紙"
10,2,0,194011,0,1,0,0,1,9,"隅飾り"
11,1,0,195002,0,1,0,0,1,1,"陰影"
12,1,0,195003,0,1,0,0,1,2,"光彩"
13,1,0,195004,0,1,0,0,1,3,"水玉"
14,1,0,195005,0,1,0,0,1,4,"手帳"
15,1,0,195006,0,1,0,0,1,5,"スクラップ"
16,1,0,195007,0,1,0,0,1,6,"魔法陣"
17,1,0,195008,0,1,0,0,1,7,"羊皮紙"
18,1,0,195009,0,1,0,0,1,8,"塗料"
19,1,0,195010,0,1,0,0,1,9,"金属看板"
20,1,0,195011,0,1,0,0,1,10,"書物"
21,3,0,197002,0,1,0,0,1,3,"バナー"
22,3,0,197003,0,1,0,0,1,4,"ウェルカムバック"
23,3,0,197004,0,1,0,0,1,5,"メタルサークル"
24,3,0,197005,0,1,0,0,1,6,"ロールバナー：TANK"
25,3,0,197006,0,1,0,0,1,8,"ロールバナー：DPS"
26,3,0,197007,0,1,0,0,1,7,"ロールバナー：HEALER"
27,3,0,197008,0,1,0,0,1,1,"シンプルフレーム：ブラウン"
28,3,0,197009,0,1,0,0,1,2,"シンプルフレーム：ソリッド"
29,3,0,197010,0,1,0,0,1,9,"メモ"
30,3,0,197011,0,1,0,0,1,10,"スクラップ"
31,4,0,198002,0,1,0,0,1,3,"ブラック"
32,4,0,198003,0,1,0,0,1,2,"ホワイト"
33,4,0,198004,0,1,0,0,1,5,"ジェム（ソリッド）"
34,4,0,198005,0,1,0,0,1,4,"ジェム（シンプル）"
35,4,0,198006,0,1,0,0,1,6,"リムサ・ロミンサ"
36,4,0,198007,0,1,0,0,1,7,"グリダニア"
37,4,0,198008,0,1,0,0,1,8,"ウルダハ"
