key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_000_000","こちらはコスモフォーチュン窓口です～。<hex:02100103>どのようなご用件でしょう？"
1,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_000_010","その光り輝くチケットは……<hex:02100103>コスモフォーチュン・ビッグバンチケット！"
2,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_000_020","千載一遇の大チャンス、<hex:02100103>コスモフォーチュン・ビッグバンへの参加権ですよ！<hex:02100103>どうぞ、お楽しみくださいね～！！"
3,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_010_000","コスモフォーチュン・ビッグバンに挑戦する"
4,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_010_010","コスモフォーチュンに挑戦する（<hex:022003E80203>ムーンクレジット）"
5,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_010_020","コスモフォーチュンの遊び方が知りたい"
6,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_010_030","キャンセル"
7,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_010_040","ご用件は？"
8,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_020_000","コスモフォーチュンの遊び方ですね～！<hex:02100103>こちらは、ルーレット形式のくじを回して、<hex:02100103>豪華景品の獲得を目指す報酬プログラムなんです～。"
9,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_020_010","参加方法は、とっても簡単ですよ～。<hex:02100103>探索事業に協力した際に得られるムーンクレジットを、<hex:02100103><hex:022003E80203>クレジット、こちらでお支払いください～！"
10,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_020_020","それから、コスモフォーチュンを起動させてもらいます～。<hex:02100103>画面に表示された2つのルーレットから、<hex:02100103>欲しい景品のルーレットを選んで抽選を始めてくださいね～。"
11,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_020_030","詳しいことは、<hex:02100103>エクスプローラータブレットにも記載がありますよ～。<hex:02100103>よろしければ、ぜひ見てみてくださいね～！"
12,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_030_000","おや、前回遊ばれたコスモフォーチュンで、<hex:02100103>受け取られていない景品があるようです～。<hex:02100103>どうぞこちら、お受け取りください～！"
13,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_030_010","あらら、手荷物がいっぱいのようですね～。<hex:02100103>受け取られる際には、またお声がけください～！"
14,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_040_000","あらら、ムーンクレジットが足りないようです～。<hex:02100103>またのご挑戦を、お待ちしております！"
15,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_040_010","あらら、手荷物がいっぱいで、<hex:02100103>景品の受け取りが難しそうですね～。<hex:02100103>またのお越しをお待ちしておりますね！"
16,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_050_000","またのご挑戦を、お待ちしております～！"
17,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_050_010","大興奮のビッグバンでしたね～！！<hex:02100103>またのご挑戦を、お待ちしております～！"
18,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_060_000","こちらは、コスモフォーチュンの窓口です～。<hex:02100103>ただいま抽選システムの更新中ですので、<hex:02100103>また後ほどお越しください～！"
19,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_070_000","コスモフォーチュンに挑戦するには、<hex:02100103><hex:022003E80203>ムーンクレジットが必要です。<hex:02100103>[所持ムーンクレジット：<hex:022003E80303>]"
20,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_070_010","コスモフォーチュン・ビッグバンに挑戦するには、<hex:02100103>コスモフォーチュン・ビッグバンチケットが1枚必要です。<hex:02100103>[所持チケット数：<hex:022003E80203>]"
21,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_070_020","はい"
22,"TEXT_CTSWKSLOT_00918_ORBITINGWAY_070_030","いいえ"
